id,product_id,name,image,price,description,product_link
1,ENVR,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit
2,ENVR,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable
3,ENVR,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
1,UNVR-Pro,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit-unvr-pro
2,UNVR-Pro,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable-unvr-pro
3,UNVR-Pro,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
1,UNVR,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit-unvr
2,UNVR,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable-unvr
3,UNVR,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
1,UNVR-Instant,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit-unvr-instant
2,UNVR-Instant,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable-unvr-instant
3,UNVR-Instant,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
1,UNVR-Instant-Kit,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit-unvr-instant-kit
2,UNVR-Instant-Kit,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable-unvr-instant-kit
3,UNVR-Instant-Kit,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
1,AI-Key,Mounting Kit,/images/dcs-box.png,299,"Compact, stackable, and toolless design. Perfect for your rack-mount devices.",/products/mounting-kit-ai-key
2,AI-Key,Power Cable,/images/dcs-box.png,299,High-quality power cable with durable construction.,/products/power-cable-ai-key
3,AI-Key,SFP+ Module,/images/dcs-box.png,299,High-speed 10Gbps SFP+ module for fiber connectivity.,/products/sfp-module-10g
